id,fname,SMILES,first_triplet,first_singlet,dipole_moment
76,electronic_prop_molecule_491.dat,COc1ccc(-c2c3ccn(C)c3c(-c3cc(F)c(OC)c(F)c3)c3c(SC)c(-c4c(F)c5oc(-c6cc(F)c(-c7c(SC)c8c(c(OC)c(-c9cc%10c(-c%11ccc(OC)c(C)c%11)c%11sc(-c%12c(F)c%13oc(-c%14cc(F)c(-c%15c(SC)c%16c(c(OC)cn%16C)n%15C)c%15nn(C)nc%14%15)c(SC)c%13n%12C)c(SC)c%11c(-c%11cc(F)c(OC)c(F)c%11)c%10n9C)n8C)n7C)c7nn(C)nc67)c(SC)c5n4C)sc23)cc1C,2.629,2.884,7.20138
77,electronic_prop_molecule_485.dat,COc1cc(-c2nc3c(-c4cc(C)c(-c5c(OC)c6oc(-c7ccc(-c8c(OC)c(SC)c(-c9cc(C)c(-c%10c(OC)c%11occ(OC)c%11n%10C)s9)c9nc(-c%10cc(F)c(OC)c(OC)c%10)c(-c%10ccc(F)c(C)c%10)nc89)n7C)c(OC)c6n5C)s4)c(SC)c(OC)c(-c4cccn4C)c3nc2-c2ccc(F)c(C)c2)cc(F)c1OC,2.669,2.862,6.20227
78,electronic_prop_molecule_3195.dat,CSc1cc(-c2c3oc(-c4nccc5nonc45)c(F)c3c(-c3cc(SC)c(SC)c(SC)c3)c3occ(F)c23)cc(SC)c1SC,2.512,3.218,2.31802
79,electronic_prop_molecule_4822.dat,COc1coc2c(-c3cc(C)c(C)c(C)c3)c3c(OC)c(-c4ncc(-c5oc6c(-c7cc(C)c(C)c(C)c7)c7c(OC)c(-c8nccc9nn(C)nc89)oc7c(-c7cc(C)c(C)c(C)c7)c6c5OC)c5nn(C)nc45)oc3c(-c3cc(C)c(C)c(C)c3)c12,2.455,2.844,5.12692
80,electronic_prop_molecule_1782.dat,COc1nc2c(-c3oc(-c4cc(C)c(-c5sccc5SC)o4)c(F)c3C)c(C)c(OC)c(-c3occ(C)c3SC)c2nc1C,3.056,3.43,4.02147
81,electronic_prop_molecule_4765.dat,CSc1cn(C)c(-c2cnc(-c3c(SC)c(SC)c(-c4oc5c(SC)c6c(SC)coc6c(SC)c5c4SC)n3C)c3nn(C)nc23)c1SC,2.736,3.152,4.49585
82,electronic_prop_molecule_2314.dat,COc1c(C23CN2C(c2c(C)cc(-c4occ(SC)c4F)c4nsnc24)=C(SC)C3C)n(C)c2c(C)csc12,2.604,3.127,1.91255
83,electronic_prop_molecule_2472.dat,COc1c(F)c(-c2c(F)c(SC)c(-c3oc(-c4oc5c(oc6cc(-c7c(OC)c(F)c(-c8c(F)c(SC)c(-c9occ(SC)c9F)c9nc(-c%10ccc(SC)cc%10)c(-c%10ccc(F)c(SC)c%10)nc89)n7C)n(C)c65)c4C)c(SC)c3F)c3nc(-c4ccc(SC)cc4)c(-c4ccc(F)c(SC)c4)nc23)n(C)c1-c1cc2oc3c(C)coc3c2n1C,2.485,2.788,6.03897
84,electronic_prop_molecule_4003.dat,COc1c2sc(-c3ccc(-c4ncc(-c5cccs5)c5nsnc45)s3)c(F)c2c(OC)c2scc(F)c12,1.917,2.407,1.54113
85,electronic_prop_molecule_2466.dat,COc1ccoc1-c1c(C)c(OC)c(-c2c(C)c(SC)c(-c3sc(-c4c(SC)ccn4C)cc3C)n2C)c2nc(-c3cc(C)c(F)c(SC)c3)c(-c3cc(OC)c(OC)c(SC)c3)nc12,3.12,3.411,5.11368
